CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;27324;P;1;12;;;11505;;400;;;51152;1;1;1;1;1;1;;;+01772750;+4761630;;0;
852;3;27325;P;1;12;;;3480;;1089;;;51152;1;1;1;1;1;1;;;+01776490;+4758770;;0;
852;3;27326;P;1;12;;;9166;;1089;;;51152;1;1;1;1;1;1;;;+01776350;+4758730;;0;
852;3;27327;P;1;12;;;9279;;1564;;;51152;1;1;1;1;1;1;;;+01778410;+4756970;;0;
852;3;27328;P;1;12;;;8689;;2298;;;51152;1;1;1;1;1;1;;;+01780840;+4754290;;0;
852;3;27329;P;1;12;;;8688;;2298;;;51152;1;1;1;1;1;1;;;+01780780;+4754170;;0;
852;3;27330;P;1;12;;;9748;;1802;;;51152;1;1;1;1;1;1;;;+01783740;+4750850;;0;
852;3;27331;P;1;12;;;11104;;1508;;;51152;1;1;1;1;1;1;;;+01786540;+4747720;;0;
852;3;27332;P;1;12;;;3492;;1508;;;51152;1;1;1;1;1;1;;;+01787290;+4746960;;0;
852;3;4802;P;4;0;;;5817;;718;;;4801;;;;;;;;;+01781149;+4768588;;0;
852;3;5414;P;4;0;;;5968;;28;;;5413;;;;;;;;;+01774296;+4771126;;0;
852;3;20358;P;1;12;;;3459;;28;;;50042;1;1;1;1;1;1;;;+01766810;+4772770;;0;
852;3;6394;P;1;8;;;475;;28;;;50042;1;1;1;1;1;1;;;+01766167;+4773758;;0;
852;3;20359;P;1;12;;;11884;;1377;;;50042;1;1;1;1;1;1;;;+01764470;+4775940;;0;
852;3;20082;P;1;12;;;3466;;209;;;50003;1;1;1;1;1;1;;;+01804400;+4750650;;0;
852;3;20083;P;1;12;;;2809;;1970;;;50003;1;1;1;1;1;1;;;+01806790;+4753740;;0;
